# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evapotranspiration [m d^-1]
# Region: surface domain
# Reduction: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# =============================================================================
"time [d]","surface water content [mol]","subsurface water content [mol]","evapotranspiration [m d^-1]"
0.000000000000e+00,0.000000000000e+00,1.372036110213e+05,0.000000000000e+00
1.000000000000e+00,0.000000000000e+00,1.369287078214e+05,4.998240000000e-03
2.000000000000e+00,0.000000000000e+00,1.366538046215e+05,4.998240000000e-03
3.000000000000e+00,0.000000000000e+00,1.363789014216e+05,4.998240000000e-03
4.000000000000e+00,0.000000000000e+00,1.361039982218e+05,4.998240000000e-03
5.000000000000e+00,0.000000000000e+00,1.358290950218e+05,4.998240000000e-03
6.000000000000e+00,0.000000000000e+00,1.355541918220e+05,4.998240000000e-03
7.000000000000e+00,0.000000000000e+00,1.352792886221e+05,4.998240000000e-03
8.000000000000e+00,0.000000000000e+00,1.350043854222e+05,4.998240000000e-03
9.000000000000e+00,0.000000000000e+00,1.347294822223e+05,4.998240000000e-03
1.000000000000e+01,0.000000000000e+00,1.344545790225e+05,4.998240000000e-03
1.100000000000e+01,0.000000000000e+00,1.341796758226e+05,4.998240000000e-03
1.200000000000e+01,0.000000000000e+00,1.339047726227e+05,4.998240000000e-03
1.300000000000e+01,0.000000000000e+00,1.336298694228e+05,4.998240000000e-03
1.400000000000e+01,0.000000000000e+00,1.333549662230e+05,4.998240000000e-03
1.500000000000e+01,0.000000000000e+00,1.330800630229e+05,4.998240000000e-03
1.600000000000e+01,0.000000000000e+00,1.328051598230e+05,4.998240000000e-03
1.700000000000e+01,0.000000000000e+00,1.325302566231e+05,4.998240000000e-03
1.800000000000e+01,0.000000000000e+00,1.322553534232e+05,4.998240000000e-03
1.900000000000e+01,0.000000000000e+00,1.319804502233e+05,4.998240000000e-03
2.000000000000e+01,0.000000000000e+00,1.317055470235e+05,4.998240000000e-03
2.100000000000e+01,0.000000000000e+00,1.314306438233e+05,4.998240000000e-03
2.200000000000e+01,0.000000000000e+00,1.311557406235e+05,4.998240000000e-03
